session_id,event_id,event_sequence,timestamp_utc,event_type,payment_method,currency,country,processor,status,decline_code,device_type,browser,amount,duration_ms
ses_0001,evt_000001,1,2026-09-12T05:22:27Z,checkout_initiated,bank_transfer_local,PHP,Philippines,bank_rail,started,,mobile,Chrome,348.14,310
ses_0001,evt_000002,2,2026-09-12T05:22:35Z,method_selected,bank_transfer_local,PHP,Philippines,bank_rail,success,,mobile,Chrome,348.14,423
ses_0001,evt_000003,3,2026-09-12T05:22:44Z,details_entered,bank_transfer_local,PHP,Philippines,bank_rail,success,,mobile,Chrome,348.14,818
ses_0001,evt_000004,4,2026-09-12T05:22:49Z,authorization_requested,bank_transfer_local,PHP,Philippines,bank_rail,submitted,,mobile,Chrome,348.14,601
ses_0001,evt_000005,5,2026-09-12T05:22:56Z,authorization_response,bank_transfer_local,PHP,Philippines,bank_rail,success,,mobile,Chrome,348.14,322
ses_0001,evt_000006,6,2026-09-12T05:22:58Z,payment_completed,bank_transfer_local,PHP,Philippines,bank_rail,success,,mobile,Chrome,348.14,752
ses_0002,evt_000007,1,2026-09-04T00:57:39Z,checkout_initiated,card_mastercard,KES,Kenya,gateway_alpha,started,,mobile,Edge,310.54,552
ses_0002,evt_000008,2,2026-09-04T00:57:51Z,method_selected,card_mastercard,KES,Kenya,gateway_alpha,success,,mobile,Edge,310.54,1634
ses_0002,evt_000009,3,2026-09-04T00:58:02Z,details_entered,card_mastercard,KES,Kenya,gateway_alpha,success,,mobile,Edge,310.54,1762
ses_0002,evt_000010,4,2026-09-04T00:58:06Z,authorization_requested,card_mastercard,KES,Kenya,gateway_alpha,submitted,,mobile,Edge,310.54,222
ses_0002,evt_000011,5,2026-09-04T00:58:08Z,authorization_response,card_mastercard,KES,Kenya,gateway_alpha,success,,mobile,Edge,310.54,458
ses_0002,evt_000012,6,2026-09-04T00:58:12Z,payment_completed,card_mastercard,KES,Kenya,gateway_alpha,success,,mobile,Edge,310.54,1461
ses_0003,evt_000013,1,2026-09-09T22:17:13Z,checkout_initiated,card_mastercard,PHP,Philippines,gateway_beta,started,,mobile,Safari,212.78,475
ses_0003,evt_000014,2,2026-09-09T22:17:18Z,method_selected,card_mastercard,PHP,Philippines,gateway_beta,success,,mobile,Safari,212.78,1360
ses_0003,evt_000015,3,2026-09-09T22:17:24Z,details_entered,card_mastercard,PHP,Philippines,gateway_beta,success,,mobile,Safari,212.78,227
ses_0003,evt_000016,4,2026-09-09T22:17:34Z,authorization_requested,card_mastercard,PHP,Philippines,gateway_beta,submitted,,mobile,Safari,212.78,380
ses_0003,evt_000017,5,2026-09-09T22:17:47Z,3ds_redirect,card_mastercard,PHP,Philippines,gateway_beta,redirected,,mobile,Safari,212.78,11342
ses_0003,evt_000018,6,2026-09-09T22:18:06Z,3ds_completed,card_mastercard,PHP,Philippines,gateway_beta,abandoned,3ds_abandoned,mobile,Safari,212.78,12643
